Condor,,2026-06-13T11:52:03,Batt % (Start),93.86328,Batt % (End),87.35156,MCU Temp (Start),28,MCU Temp (End),38,,,,,,,,,
time (ms), acc_x (m/s^2), acc_y (m/s^2), acc_z (m/s^2), gyro_x (dps), gyro_y (dps), gyro_z (dps), mag_x (μT), mag_y (μT), mag_z (μT), baro_alt (m), gps_alt (m), temp (c), lat (ddmm.mmmm), lon(ddmm.mmmm), est_yaw (deg), est_pitch (deg), est_roll(deg), est_alt (m), est_speed(m/s)
-2431,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0,-4.72657,10.202561,3.0312114,0.205993652,408.3,32.708528,2827.6,8031.8,1.6370921,-1.1815064,296.7812,2.5541374,1.4706721
-2408,10.295056,-0.038443564,-0.20351768,-0.022052508,-0.0715051,0,-4.701962,10.197178,3.069003,0.17959594,408.3,32.701996,2827.6,8031.8,1.3727115,-0.750037568,296.7762,2.5533424,1.4709012
-2386,9.81453,-0.5189694,0.27700818,0.11794749,0.068494888,0,-4.6879,10.209292,3.034361,0.19281006,408.3,32.694976,2827.6,8031.8,1.6398156,-0.90149704,296.75446,2.5526304,1.4605143
-2364,9.81453,-0.038443564,0.27700818,0.11794749,0.068494888,0,-4.7107508,10.222753,2.996569,0.2218628,408.3,32.692184,2827.6,8031.8,1.3999661,-1.043007,296.7166,2.5521064,1.4502598
-2342,10.775582,-0.5189694,0.27700818,-0.022052508,0.068494888,0.14,-4.708993,10.2066,3.056406,0.23242188,408.3,32.692764,2827.6,8031.8,1.6408366,-1.1228043,296.71252,2.5517464,1.4614109
-2319,10.295056,-0.5189694,0.27700818,0.11794749,0.068494888,0.14,-4.7037196,10.2160224,3.0595552,0.25619508,408.3,32.685228,2827.6,8031.8,1.866786,-1.1998798,296.71712,2.5518506,1.4619895
-2297,10.295056,-0.5189694,0.757534,0.11794749,-0.0715051,0.14,-4.7177816,10.207946,3.0217636,0.2482605,408.3,32.685836,2827.6,8031.8,2.042973,-1.709493,296.71378,2.551855,1.4625326
-2275,10.295056,-0.5189694,0.27700818,0.11794749,-0.0715051,0.14,-4.694931,10.194485,3.015465,0.23242188,408.3,32.694732,2827.6,8031.8,2.1913868,-1.6752275,296.72744,2.5516506,1.4630058
-2253,10.295056,-0.038443564,0.757534,-0.022052508,-0.0715051,0.14,-4.6879,10.1985232,3.056406,0.21920776,408.3,32.69435,2827.6,8031.8,1.8555982,-2.0956824,296.7365,2.5512748,1.4634215
-2231,10.295056,-0.038443564,0.27700818,-0.022052508,-0.21150508,0.14,-4.701962,10.210638,3.046958,0.21920776,408.3,32.693144,2827.6,8031.8,1.5649808,-1.98200536,296.75104,2.5509136,1.4638388
-2208,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0.14,-4.7142664,10.207946,3.097347,0.21655274,408.3,32.709444,2827.6,8031.8,1.3139736,-1.895895,296.7804,2.5504124,1.4535681
-2186,10.295056,-0.038443564,0.27700818,0.11794749,-0.0715051,0.14,-4.700204,10.203908,3.0280624,0.200714116,408.3,32.684784,2827.6,8031.8,1.1161404,-1.8283024,296.77948,2.549589,1.4539086
-2164,9.81453,-0.038443564,0.27700818,-0.022052508,-0.0715051,0.14,-4.716024,10.187755,3.0721526,0.20336914,408.3,32.69484,2827.6,8031.8,0.9653523,-1.7838174,296.79062,2.5487044,1.4435865
-2142,10.775582,-0.5189694,0.757534,0.11794749,-0.21150508,0,-4.6931732,10.202561,3.0595552,0.24032593,408.3,32.69748,2827.6,8031.8,1.2647793,-2.151281,296.80936,2.5483558,1.4547881
